date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:04	367434/367434	---M--	200	added ('OK')	image/png	etag:%22fda42a47a55e64769b5b22ae04d56f3f%22	https://play.geforcenow.com/mall/assets/img/splash_iPad102_portrait_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad102_portrait_v3.png	(from https://play.geforcenow.com/mall/)
18:52:04	630218/630218	---M--	200	added ('OK')	image/png	etag:%22d2889dc65948aede67ea13b3f55abacd%22	https://play.geforcenow.com/mall/assets/img/splash_iPad097Pro_landscape_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad097Pro_landscape_v3.png	(from https://play.geforcenow.com/mall/)
18:52:04	687064/687064	---M--	200	added ('OK')	image/png	etag:%22f69b4ade150c8747e9ecca88c929b287%22	https://play.geforcenow.com/mall/assets/img/splash_iPad097Pro_portrait_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPad097Pro_portrait_v3.png	(from https://play.geforcenow.com/mall/)
18:52:05	790879/790879	---M--	200	added ('OK')	image/png	etag:%226a0122888d6eed08cbb1ec1ec2ad7de8%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone12ProMax_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone12ProMax_v3.png	(from https://play.geforcenow.com/mall/)
18:52:05	683340/683340	---M--	200	added ('OK')	image/png	etag:%22fea59fc6ad2ff00ffcb64e24dd79d25f%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone12Pro_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone12Pro_v3.png	(from https://play.geforcenow.com/mall/)
18:52:06	604995/604995	---M--	200	added ('OK')	image/png	etag:%227fee77e1e17fd12d687c5b4acd15bdf5%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone12Mini_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone12Mini_v3.png	(from https://play.geforcenow.com/mall/)
18:52:07	784852/784852	---M--	200	added ('OK')	image/png	etag:%22dbb49d92b91d7162338ac8a015897391%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone11ProMax_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone11ProMax_v3.png	(from https://play.geforcenow.com/mall/)
18:52:07	379292/379292	---M--	200	added ('OK')	image/png	etag:%220dbeeb477ece608ea4170ec8cd3741b7%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone11_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone11_v3.png	(from https://play.geforcenow.com/mall/)
18:52:08	646955/646955	---M--	200	added ('OK')	image/png	etag:%22fbdd7c471c692623c083c6dd1f4e26ea%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone8Plus_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone8Plus_v3.png	(from https://play.geforcenow.com/mall/)
18:52:08	244242/244242	---M--	200	added ('OK')	image/png	etag:%2285c45f48aea0e5b3a8c8a34f37c93e85%22	https://play.geforcenow.com/mall/assets/img/splash_iPhone8_v3.png	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/img/splash_iPhone8_v3.png	(from https://play.geforcenow.com/mall/)
18:52:08	29124/29124	---M--	200	added ('OK')	binary/octet-stream	etag:%226ada063defe18142a62c974db9bffa40%22	https://play.geforcenow.com/mall/assets/hashed/NVIDIASans_W_Rg.8ae82cb5ee5f81bd6aae.woff2	C:/Users/Toast/Desktop/geforce/play.geforcenow.com/mall/assets/hashed/NVIDIASans_W_Rg.8ae82cb5ee5f81bd6aae.woff2	(from https://play.geforcenow.com/mall/)
